cleDate ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-SEP-2026,10924.55,10963.95,10837.4,10869.85,52767159,2801.12
23-SEP-2026,10975.9,11024.35,10952.3,11005.2,42101454,2038.82
22-SEP-2026,11023.35,11046.4,10899.05,10958.9,73647702,3323.17
21-SEP-2026,10953.8,11017.8,10938.65,11006.25,48691794,2646.79
18-SEP-2026,10880.8,11001.35,10878.1,10948.7,127617454,6482.24
17-SEP-2026,10884.75,10924.9,10828.6,10857.35,49746795,2283.98
16-SEP-2026,10836.95,10900.85,10781.35,10872.45,51556504,2631.25
15-SEP-2026,10950.75,10977.5,10788.6,10796.4,65466243,3268.22
11-SEP-2026,10996.45,10996.45,10907.7,10937,74217169,3328.21
10-SEP-2026,11027.2,11136.65,10995.65,11029.9,57781211,3079.8
09-SEP-2026,10999.05,11096.5,10980.55,11029,65849298,4304.11
08-SEP-2026,11089.35,11114.2,10989.05,11044.75,46116248,2359.63
07-SEP-2026,11193.95,11202.4,11075.1,11118.85,47062144,2345.31
04-SEP-2026,11157.6,11238.45,11152.2,11187.65,49717026,2764.58
03-SEP-2026,11175.45,11218.1,11139.4,11164.65,43174621,2415.53
02-SEP-2026,11080.65,11182.45,11025.6,11178.85,70718982,3591.34
01-SEP-2026,11063.6,11151.7,11013.55,11142.3,59476364,3147.27
31-AUG-2026,11040.8,11104.2,10969,11103.8,108009305,6440.2
28-AUG-2026,11079.15,11089.3,11030.9,11067.7,43684190,1895.79
27-AUG-2026,11173.35,11203.75,11060.65,11060.65,51170570,2572.46
26-AUG-2026,11211.35,11248.4,11146.05,11149.35,37786681,1673.52
25-AUG-2026,11177.25,11216.9,11132.7,11214.9,54323295,2246.72
24-AUG-2026,11200.3,11267.3,11154.2,11197,48289123,2225.2
21-AUG-2026,11178.45,11207.85,11156.9,11182.75,51404594,2103.68
20-AUG-2026,11218.05,11218.05,11104.3,11178.15,48060570,2088.28
19-AUG-2026,11253.7,11274.55,11143.95,11176.9,92246679,4156.47
18-AUG-2026,11205.7,11300.75,11196.8,11231.15,68057376,3650.8
17-AUG-2026,11212.25,11244.25,11131.6,11208.5,70110990,3472.63
14-AUG-2026,11240.6,11241.6,11161.95,11200.05,63904656,2923.89
13-AUG-2026,11292.95,11293.5,11188.35,11252.55,59078309,2803.99
12-AUG-2026,11289.25,11307.9,11189.1,11293.9,70235586,3078.29
11-AUG-2026,11279.3,11302.25,11220.5,11279.1,104285262,5883.48
10-AUG-2026,11313.6,11318,11226.8,11270.45,61959022,2776.75
07-AUG-2026,11276.5,11344.45,11238.95,11312.2,56530860,2939.82
06-AUG-2026,11244.75,11334.45,11189.85,11304.3,89054988,4803.73
05-AUG-2026,11308.1,11321.95,11163.2,11216.05,100221410,5330.1
04-AUG-2026,11342.6,11342.8,11196.75,11226.3,67722023,3025.37
03-AUG-2026,11312.4,11358.2,11265.65,11357.4,99329786,3638.95
31-JUL-2026,11146.35,11265.85,11090.75,11247.7,88817222,3236.52
30-JUL-2026,11087.25,11162.5,11060.9,11127.75,61728126,3467.68
29-JUL-2026,11104.95,11110.25,11035.25,11076.3,53815252,2486.5
28-JUL-2026,11067.95,11095.9,11019.15,11067.85,68007844,2843.59
27-JUL-2026,11153,11171.2,11052.4,11079.1,73744090,2905.91
24-JUL-2026,11071.1,11105,10986.65,11077,62740598,2914.58
23-JUL-2026,11177.5,11232.7,11106.55,11128.5,88183022,4677.23
22-JUL-2026,11306.95,11307.4,11194.3,11243.15,73966507,3613.21
21-JUL-2026,11369.15,11409.5,11304.35,11311.95,70208672,3510.8
20-JUL-2026,11247.1,11408.9,11236.8,11369.05,84602527,4461.98
17-JUL-2026,11200.9,11311.05,11155.45,11298.65,71119425,4232.58
16-JUL-2026,11196.2,11298.25,11172.4,11188.15,90064449,4657.18
15-JUL-2026,11120.75,11221.9,11118.45,11178.85,77757009,3354.41
14-JUL-2026,11135.9,11158.05,11078.45,11102.4,86189346,4085.53
13-JUL-2026,11106.6,11192.5,11085.8,11176.55,67244660,3150.89
10-JUL-2026,11113.3,11201.35,11094.5,11177.45,52649959,2836.5
09-JUL-2026,11026.5,11109.1,10969.05,11032.85,78371478,3855.72
08-JUL-2026,11157.75,11177.95,10962.25,10998.55,151846936,6321.14
07-JUL-2026,11287.65,11327.95,11214.85,11248.9,91748676,4249.18
06-JUL-2026,11149.9,11287.3,11105.3,11261.1,69248776,3028.89
03-JUL-2026,11191.05,11192.15,11119.45,11136.2,57728011,2867.28
02-JUL-2026,11088.5,11170.6,11068.25,11132.5,89617376,4571.93
01-JUL-2026,11058.45,11097.8,11011.95,11084.15,59481908,2658.84
30-JUN-2026,11040.85,11069.2,10952.25,11030.25,94451873,4207
29-JUN-2026,11101.05,11124.35,10963.7,11012.05,123572208,5331.54
25-JUN-2026,11305,11315.7,11116,11143.3,113736114,4959.38
24-JUN-2026,11168.85,11279.25,11131.4,11241.6,74874326,3215.62
23-JUN-2026,11293.65,11306.95,11149.55,11171.3,70369767,3649.6
22-JUN-2026,11237.15,11324.75,11193.65,11273.05,66426415,3670.47
19-JUN-2026,11287.95,11295.8,11135.35,11169.75,90648756,5154.11
18-JUN-2026,11319.25,11341.6,11240.05,11303.65,76938926,4038.23
17-JUN-2026,11334.3,11358.3,11271.45,11303.95,83172301,3590.43
16-JUN-2026,11234.5,11311.55,11180.35,11294.6,91711430,4792.06
15-JUN-2026,11250,11257.05,11162.15,11180.6,144535207,6465.6
12-JUN-2026,10888.35,11039.1,10791.85,11012.3,142412323,6777.67
11-JUN-2026,10775.05,10818.8,10740.55,10779.1,143651213,8065.8
10-JUN-2026,10968.35,11066.55,10788.2,10803,101273444,5584.09
09-JUN-2026,10983.45,11011.15,10901.75,10965.3,80037061,4829.34
08-JUN-2026,11009,11043.7,10906.1,10931.7,67153943,3778.68
05-JUN-2026,11172.8,11188.75,11080.05,11106.2,73708656,4322.25
04-JUN-2026,11066.7,11183.9,11065.7,11159.4,92033304,5333.81
03-JUN-2026,11129.85,11174.15,11056.65,11130.8,86408629,4994.21
02-JUN-2026,11084.15,11170.95,11034.25,11138.9,100218170,5932.11
01-JUN-2026,11257.65,11290.75,11148.5,11159.1,94281500,4772.18
29-MAY-2026,11586.75,11604.6,11137.65,11200.25,294928203,14945.21
27-MAY-2026,11486.1,11507.1,11394.7,11484.15,138051651,8136.33
26-MAY-2026,11502.6,11576.2,11480.65,11515.6,109516205,5562.76
25-MAY-2026,11512.35,11561.15,11483.95,11524.6,120103920,3757.56
22-MAY-2026,11366.8,11415.2,11319.55,11372.3,81902087,2870.16
21-MAY-2026,11395.85,11431.75,11339.6,11377.55,113211988,5069.38
20-MAY-2026,11127.1,11378.9,11074.9,11359,99817058,3948.69
19-MAY-2026,11189.7,11276.25,11161.05,11180.7,105931496,4851
18-MAY-2026,11205.85,11206.55,11071.45,11162.5,80965481,3482.33
15-MAY-2026,11452.1,11477.55,11229.25,11250.7,120487812,5432.12
14-MAY-2026,11530.65,11543.7,11382.15,11442.2,109017256,5267.55
13-MAY-2026,11318.1,11490.3,11270.55,11437.55,110631757,4906.12
12-MAY-2026,11347.35,11446.85,11275.05,11293.15,159845774,7774.71
11-MAY-2026,11526.55,11538.4,11323.45,11339,73239120,3830.26
